,Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
0,2,0.625994209,0.78125,1.093333333,0.118258975,0.299734001,TRUE,8,41
1,3,-1.306455136,0.789473684,1.222222222,0.197931692,0.905339902,TRUE,12,6
2,4,-1.19602946,0.75,1.149425287,0.138568133,-0.911477799,FALSE,0,8
3,6,0.625994209,0.72,1.111111111,0.11785113,-0.911477799,FALSE,0,41
4,7,-1.251242298,0.791666667,1.129186603,0.139222666,0.148332526,FALSE,7,7
5,10,-1.085603783,0.787037037,1.105882353,0.181751062,-0.003068949,TRUE,6,10
6,14,1.122909755,0.759433962,1.167701863,0.168962367,-0.305871899,TRUE,4,50
7,18,1.895889493,0.798507463,1.102803738,0.098316099,-0.911477799,FALSE,0,64
8,19,-0.754326752,0.754545455,1.13253012,0.164020706,-0.911477799,FALSE,0,16
9,22,1.012484078,0.792372881,1.197860963,0.153628958,0.602536952,TRUE,10,48
10,23,-0.919965267,0.787234043,1.243243243,0.231182476,-0.003068949,TRUE,6,13
11,24,0.073865824,0.779761905,1.236641221,0.235365518,-0.760076324,FALSE,1,31
12,25,0.902058401,0.754716981,1.125,0.119023807,-0.760076324,FALSE,1,46
13,26,1.951102331,0.755952381,1.275590551,0.267716535,-0.154470424,TRUE,5,65
14,29,0.846845562,0.740909091,1.153374233,0.114007034,-0.911477799,FALSE,0,45
15,31,-0.202198368,0.785087719,1.206703911,0.195982452,-0.154470424,TRUE,5,26
16,35,0.515568532,0.761904762,1.229166667,0.187885406,-0.760076324,FALSE,1,39
17,37,-1.306455136,0.744565217,1.197080292,0.198561613,-0.608674849,TRUE,2,6
18,39,-0.533475398,0.795081967,1.092783505,0.108451779,-0.911477799,FALSE,0,20
19,40,1.067696916,0.78125,1.14,0.155777619,-0.760076324,FALSE,1,49
20,41,-1.140816621,0.76953125,1.258883249,0.207315511,0.148332526,TRUE,7,9
21,47,-1.637732167,0.804487179,1.258964143,0.229974019,-0.003068949,TRUE,6,0
22,48,0.681207047,0.771126761,1.223744292,0.194658414,-0.911477799,FALSE,0,42
23,49,1.675038139,0.733870968,1.252747253,0.215713287,-0.760076324,FALSE,1,60
24,50,1.509399624,0.796052632,1.140495868,0.183314653,0.148332526,FALSE,7,57
25,53,-0.091772691,0.801369863,1.213675214,0.171224834,-0.457273374,TRUE,3,28
26,55,-0.202198368,0.75862069,1.136363636,0.096423652,-0.911477799,FALSE,0,26
27,64,-0.146985529,0.844339623,1.117318436,0.111545468,1.359544327,TRUE,15,27
28,65,-0.643901075,0.871323529,1.113924051,0.121998585,3.176362028,TRUE,27,18
29,69,-0.47826256,0.811594203,1.089285714,0.085017005,-0.911477799,FALSE,0,21
30,70,-0.423049721,0.765873016,1.243523316,0.237137453,-0.003068949,TRUE,6,22
31,71,-1.251242298,0.805147059,1.187214612,0.194658414,-0.457273374,FALSE,3,7
32,72,0.018652986,0.803846154,1.167464115,0.151002238,-0.608674849,FALSE,2,30
33,75,-0.533475398,0.770833333,1.145945946,0.157283984,-0.760076324,FALSE,1,20
34,77,-0.47826256,0.830357143,1.161290323,0.117133582,2.570756128,TRUE,23,21
35,89,-0.146985529,0.69047619,1.172413793,0.122725037,-0.911477799,FALSE,0,27
36,90,-1.637732167,0.725,1.413793103,0.29796509,0.451135476,TRUE,9,0
37,91,-0.754326752,0.654411765,1.348314607,0.312189753,-0.305871899,FALSE,4,16
38,92,-0.036559852,0.64375,1.126213592,0.153303809,-0.911477799,FALSE,0,29
39,96,-0.919965267,0.743589744,1.206896552,0.1780682,0.299734001,FALSE,8,13
40,98,0.460355693,0.6875,1.163636364,0.134430746,-0.911477799,FALSE,0,38
41,101,0.515568532,0.722826087,1.293233083,0.260314029,-0.911477799,FALSE,0,39
42,104,-0.202198368,0.786885246,1.208333333,0.17921511,-0.154470424,TRUE,5,26
43,105,1.840676654,0.834459459,1.165991903,0.157773579,0.905339902,TRUE,12,63
44,107,-0.367836883,0.820754717,1.149425287,0.11945178,1.965150228,TRUE,19,23
45,109,-0.091772691,0.745283019,1.139240506,0.172325552,-0.760076324,FALSE,1,28
46,112,1.178122593,0.829166667,1.105527638,0.10298443,0.299734001,TRUE,8,51
47,114,0.23950434,0.725490196,1.162162162,0.170933928,-0.608674849,FALSE,2,34
48,119,1.178122593,0.737288136,1.172413793,0.177572877,-0.911477799,FALSE,0,51
49,123,0.018652986,0.850961538,1.129943503,0.12152366,1.965150228,TRUE,19,30
50,124,0.791632724,0.75,1.128205128,0.137285286,-0.911477799,FALSE,0,44
51,129,-0.47826256,0.767857143,1.246511628,0.2208527,-0.305871899,TRUE,4,21
52,132,-0.312624045,0.85,1.137254902,0.10739658,1.359544327,TRUE,15,24
53,133,-0.367836883,0.759375,1.267489712,0.247233446,-0.911477799,TRUE,0,23
54,134,-0.146985529,0.780405405,1.246753247,0.209409292,-0.003068949,TRUE,6,27
55,136,1.730250977,0.755882353,1.19844358,0.231334874,-0.457273374,FALSE,3,61
56,138,2.061528008,0.810810811,1.116666667,0.157527188,0.753938427,TRUE,11,67
57,139,2.282379362,0.806818182,1.197183099,0.196174483,-0.760076324,FALSE,1,71
58,140,2.171953685,0.765060241,1.212598425,0.184325983,-0.608674849,FALSE,2,69
59,144,0.681207047,0.776315789,1.197740113,0.185783238,-0.760076324,FALSE,1,42
60,145,1.343761108,0.794520548,1.120689655,0.13936041,-0.911477799,FALSE,0,54
61,146,0.294717178,0.771341463,1.249011858,0.199307753,-0.305871899,TRUE,4,35
62,147,1.067696916,0.810126582,1.203125,0.200503922,0.299734001,TRUE,8,49
63,148,0.957271239,0.770833333,1.243243243,0.200370298,-0.457273374,TRUE,3,47
64,149,-1.19602946,0.815625,1.118773946,0.129060588,-0.760076324,FALSE,1,8
65,152,-1.472093652,0.838235294,1.157894737,0.195884611,1.056741377,TRUE,13,3
66,159,1.730250977,0.664,1.409638554,0.336775185,-0.911477799,FALSE,0,61
67,160,-0.588688237,0.802325581,1.130434783,0.102479244,1.813748752,FALSE,18,19
68,163,0.625994209,0.801829268,1.201520913,0.205323194,-0.457273374,FALSE,3,41
69,166,1.454186785,0.799479167,1.146579805,0.104437912,0.299734001,FALSE,8,56
70,169,2.834507746,0.757978723,1.277192982,0.289992447,-0.305871899,TRUE,4,81
71,171,0.294717178,0.809701493,1.179723502,0.150035213,-0.608674849,FALSE,2,35
72,173,-1.030390944,0.791139241,1.2,0.206352449,-0.911477799,FALSE,0,11
73,174,0.902058401,0.871710526,1.116981132,0.12651362,3.781967929,TRUE,31,46
74,175,1.28854827,0.781746032,1.096446701,0.10534269,-0.911477799,FALSE,0,53
75,180,1.454186785,0.813953488,1.157142857,0.192724822,1.208142852,FALSE,14,56
76,182,0.349930017,0.801470588,1.155963303,0.164456632,-0.911477799,FALSE,0,36
77,183,-1.085603783,0.6875,1.246753247,0.251380626,1.359544327,FALSE,15,10
78,184,-0.975178106,0.714285714,1.1,0.115470054,-0.305871899,TRUE,4,12
79,190,0.902058401,0.73,1.315068493,0.290376495,-0.003068949,TRUE,6,46
80,192,-0.699113914,0.813829787,1.150326797,0.132235215,1.056741377,TRUE,13,17
81,193,0.073865824,0.795,1.182389937,0.152853049,-0.608674849,FALSE,2,31
82,196,-1.361667975,0.754807692,1.222929936,0.181798511,0.905339902,TRUE,12,5
83,198,-0.202198368,0.765625,1.224489796,0.201648382,1.208142852,TRUE,14,26
84,201,-0.367836883,0.744444444,1.28358209,0.251526859,0.905339902,TRUE,12,23
85,204,-1.361667975,0.805,1.142857143,0.161490683,1.056741377,TRUE,13,5
86,207,0.460355693,0.708333333,1.205882353,0.229084734,-0.911477799,FALSE,0,38
87,208,-0.423049721,0.760416667,1.232876712,0.191780822,0.602536952,TRUE,10,22
88,209,0.23950434,0.803030303,1.113207547,0.126100237,-0.760076324,FALSE,1,34
89,211,-0.919965267,0.644736842,1.224489796,0.201342158,-0.608674849,FALSE,2,13
90,214,1.012484078,0.735294118,1.146666667,0.146868548,-0.911477799,FALSE,0,48
91,216,-0.643901075,0.766304348,1.24822695,0.191533136,0.148332526,TRUE,7,18
92,218,-0.864752429,0.712765957,1.164179104,0.13237945,-0.911477799,FALSE,0,14
93,220,1.067696916,0.787037037,1.082352941,0.0869846,-0.760076324,FALSE,1,49
94,221,-0.533475398,0.764150943,1.234567901,0.206090272,-0.760076324,FALSE,1,20
95,222,-0.864752429,0.8,1.175,0.170782513,2.116551703,TRUE,20,14
96,224,-0.699113914,0.745454545,1.146341463,0.119487305,-0.911477799,FALSE,0,17
97,225,-0.699113914,0.7,1.174603175,0.174843509,-0.911477799,FALSE,0,17
98,227,-0.202198368,0.672222222,1.223140496,0.189662969,-0.911477799,FALSE,0,26
99,229,1.012484078,0.759090909,1.173652695,0.134608505,0.299734001,TRUE,8,48
100,231,0.405142855,0.75,1.242424242,0.191653192,0.299734001,TRUE,8,37
101,233,-0.423049721,0.776315789,1.237288136,0.19423857,-0.760076324,FALSE,1,22
102,235,-0.975178106,0.755208333,1.24137931,0.217651501,-0.608674849,TRUE,2,12
103,239,1.509399624,0.802419355,1.105527638,0.128575149,-0.003068949,TRUE,6,57
104,241,-0.975178106,0.77,1.116883117,0.107093653,-0.305871899,TRUE,4,12
105,242,-1.085603783,0.672619048,1.203539823,0.22270898,-0.911477799,FALSE,0,10
106,243,0.073865824,0.737179487,1.252173913,0.222490911,0.451135476,TRUE,9,31
107,244,-0.754326752,0.78125,1.152,0.163951212,1.056741377,FALSE,13,16
108,245,-1.416880813,0.828125,1.132075472,0.144334713,1.359544327,FALSE,15,4
109,246,0.405142855,0.754385965,1.139534884,0.178125974,-0.911477799,FALSE,0,37
110,247,-0.257411206,0.842741935,1.129186603,0.112006698,0.905339902,TRUE,12,25
111,252,-0.202198368,0.73,1.178082192,0.205631603,-0.911477799,FALSE,0,26
112,255,0.073865824,0.730392157,1.154362416,0.175867955,-0.911477799,FALSE,0,31
