Week,Timestep,MU,RBM,RSDU,Total extended time,Rescheduling,Original _ extended,Ori-timestep
0,-0.849111359,0.816176471,1.099099099,0.074290191,-1.310043377,FALSE,10,13
0,-0.620253405,0.790540541,1.145299145,0.11965812,-0.700662659,FALSE,22,17
0,-0.276966475,0.820945946,1.102880658,0.076473854,-0.243627121,FALSE,31,23
0,-0.219751986,0.820512821,1.046875,0.040343577,0.416535323,FALSE,44,24
0,0.009105968,0.826219512,1.10701107,0.082950629,1.178261221,FALSE,59,28
0,1.725540623,0.803977273,1.144876325,0.110918797,1.787641938,FALSE,71,58
1,-1.59289971,0.779850746,1.148325359,0.163428242,-1.259261651,FALSE,11,0
1,-1.421256244,0.819852941,1.076233184,0.079377686,-0.54831748,FALSE,25,3
1,-0.563038917,0.820422535,1.098712446,0.078514579,-0.040500215,FALSE,35,18
1,-0.105323009,0.803333333,1.128630705,0.102649933,0.365753597,FALSE,43,26
1,1.210610226,0.836666667,1.083665339,0.076289013,0.873570862,FALSE,53,49
2,-1.077969313,0.735294118,1.066666667,0.063479364,-1.41160683,FALSE,8,9
2,-1.020754825,0.75,1.153846154,0.125614859,-1.106916471,FALSE,14,10
2,-0.620253405,0.783018868,1.108433735,0.089080615,-0.599099206,FALSE,24,17
2,-0.276966475,0.781818182,1.11627907,0.082768048,-0.294408847,TRUE,30,23
2,-0.048108521,0.793103448,1.108695652,0.083254531,0.31497187,TRUE,42,27
2,0.924537784,0.787878788,1.057692308,0.038461538,1.533733306,FALSE,66,44
3,-1.478470733,0.75,1.175141243,0.129656606,-1.360825104,FALSE,9,2
3,-1.19239829,0.775423729,1.136612022,0.09996665,-1.056134745,FALSE,15,7
3,-0.849111359,0.792372881,1.112299465,0.082614119,-0.853007839,FALSE,19,13
3,-0.677467894,0.781746032,1.137055838,0.112899,-0.345190574,FALSE,29,16
3,-0.505824429,0.805555556,1.103448276,0.088669951,-0.040500215,FALSE,35,19
3,0.752894318,0.821969697,1.087557604,0.081572461,0.670443956,FALSE,49,41
3,0.810108807,0.819852941,1.040358744,0.039773198,0.975134315,FALSE,55,42
4,-1.478470733,0.765873016,1.160621762,0.108849404,-0.853007839,FALSE,19,2
4,-1.364041756,0.768382353,1.071770335,0.072247219,-0.040500215,FALSE,35,4
4,-0.849111359,0.796153846,1.120772947,0.093840916,-0.142063668,TRUE,33,13
4,0.066320456,0.799242424,1.099526066,0.073217253,0.061063238,TRUE,37,29
4,0.810108807,0.8125,1.111111111,0.094146505,1.229042947,FALSE,60,42
4,1.553897157,0.823943662,1.094017094,0.069084648,1.229042947,TRUE,60,55
5,-1.364041756,0.789473684,1.111111111,0.118980581,-1.41160683,FALSE,8,4
